item_id,title,category,difficulty,description,skills
1,Python Foundations,Programming,Beginner,"Learn Python syntax, variables, loops, functions, data structures, and practical programming.",python|programming|functions|data structures
2,Python for Data Analysis,Data Science,Beginner,"Analyse structured datasets using Python, pandas, NumPy, data cleaning, and exploratory analysis.",python|pandas|numpy|data analysis
3,Machine Learning Foundations,Machine Learning,Beginner,"Understand supervised learning, unsupervised learning, training, testing, features, models, and evaluation.",machine learning|training|evaluation|scikit learn
4,Classification Algorithms,Machine Learning,Intermediate,"Build classification models using logistic regression, decision trees, random forests, SVM, KNN, and Naive Bayes.",classification|logistic regression|random forest|svm|knn
5,Regression Algorithms,Machine Learning,Intermediate,"Predict continuous outcomes using linear regression, regularization, tree regression, and ensemble methods.",regression|linear regression|ridge|lasso|random forest
6,Clustering and Segmentation,Machine Learning,Intermediate,"Discover groups using K-Means, DBSCAN, hierarchical clustering, and customer segmentation techniques.",clustering|kmeans|dbscan|segmentation
7,Anomaly Detection,Machine Learning,Intermediate,"Detect unusual records using Isolation Forest, local outlier methods, anomaly scores, and threshold analysis.",anomaly detection|isolation forest|outliers|risk
8,Principal Component Analysis,Data Science,Intermediate,"Reduce feature dimensions using PCA, explained variance, component loadings, and reconstruction analysis.",pca|dimensionality reduction|variance|visualization
9,Time-Series Forecasting,Forecasting,Intermediate,"Forecast chronological data using ARIMA, SARIMA, exponential smoothing, Prophet, and temporal validation.",time series|arima|sarima|prophet|forecasting
10,XGBoost for Structured Data,Machine Learning,Advanced,"Develop high-performance gradient-boosted tree models using feature engineering, tuning, and interpretation.",xgboost|boosting|feature engineering|tabular data
11,Natural Language Processing,Artificial Intelligence,Intermediate,"Process human language using tokenization, text cleaning, TF-IDF, classification, and document analysis.",nlp|text processing|tfidf|tokenization
12,Semantic Search and Embeddings,Artificial Intelligence,Advanced,"Build semantic retrieval systems using vector embeddings, cosine similarity, indexing, and document search.",embeddings|semantic search|vectors|cosine similarity
13,Large Language Model Applications,Artificial Intelligence,Advanced,"Build applications with large language models, prompts, structured outputs, tool use, and API integration.",llm|prompt engineering|openai api|structured output
14,Retrieval-Augmented Generation,Artificial Intelligence,Advanced,"Create RAG pipelines combining document ingestion, embeddings, vector retrieval, and grounded generation.",rag|embeddings|retrieval|llm|document intelligence
15,Agentic AI Development,Agentic AI,Advanced,"Design autonomous AI agents using goals, tools, memory, planning, reasoning, and workflow execution.",agentic ai|agents|tools|memory|planning
16,Multi-Agent Systems,Agentic AI,Advanced,"Build multi-agent architectures with specialized roles, coordination, communication, and task orchestration.",multi agent|orchestration|agents|coordination
17,FastAPI for AI Applications,Application Development,Intermediate,"Deploy machine-learning and AI functionality through FastAPI endpoints, validation, and REST services.",fastapi|python|rest api|deployment
18,Database Systems with PostgreSQL,Application Development,Intermediate,"Design relational schemas, SQL queries, indexes, transactions, and PostgreSQL-backed applications.",postgresql|sql|database|schema design
19,Supabase Application Development,Application Development,Intermediate,"Build applications using Supabase PostgreSQL, authentication, storage, row-level security, and APIs.",supabase|postgresql|authentication|rls|storage
20,Docker for AI Developers,DevOps,Intermediate,"Package AI applications using containers, Dockerfiles, images, environment variables, and deployment workflows.",docker|containers|deployment|devops
21,Process Mining,Business Intelligence,Advanced,"Analyse event logs, reconstruct workflows, discover variants, and identify process bottlenecks.",process mining|event logs|pm4py|workflow
22,Business Process Optimization,Business Intelligence,Intermediate,"Improve enterprise workflows through root-cause analysis, metrics, process redesign, and digital transformation.",process optimization|root cause|digital transformation|kpi
23,Data Visualization with Python,Data Science,Beginner,"Communicate insights through Python charts, dashboards, statistical graphics, and visual storytelling.",visualization|matplotlib|plotly|dashboard
24,Association-Rule Mining,Machine Learning,Intermediate,"Discover product relationships using Apriori, support, confidence, lift, and market-basket analysis.",apriori|association rules|support|confidence|lift
25,Recommendation Systems,Artificial Intelligence,Advanced,"Build content-based, collaborative, matrix-factorization, and hybrid recommendation systems.",recommendation|content based|collaborative filtering|ranking
26,Model Evaluation and Validation,Machine Learning,Intermediate,"Evaluate models using train-test separation, cross-validation, classification metrics, regression metrics, and ranking metrics.",evaluation|cross validation|metrics|model selection
27,MLOps Foundations,DevOps,Advanced,"Manage machine-learning lifecycles through versioning, model tracking, testing, deployment, and monitoring.",mlops|monitoring|versioning|deployment|drift
28,AI Product Development,Business and AI,Advanced,"Translate business problems into AI products through discovery, architecture, prototyping, evaluation, and deployment.",ai product|product strategy|architecture|prototype
29,Digital Transformation Strategy,Business and AI,Intermediate,"Plan digital transformation using process analysis, technology roadmaps, governance, and change management.",digital transformation|strategy|governance|change management
30,Responsible and Explainable AI,Business and AI,Advanced,"Study model explainability, fairness, privacy, governance, risk management, and responsible AI deployment.",responsible ai|explainability|fairness|governance
